,Missed States
0,Arizona
1,Arkansas
2,Colorado
3,Georgia
4,Idaho
5,Illinois
6,Iowa
7,Kansas
8,Kentucky
9,Louisiana
10,Maine
11,Maryland
12,Massachusetts
13,Minnesota
14,Mississippi
15,Missouri
16,Montana
17,Nebraska
18,Nevada
19,New Hampshire
20,New Mexico
21,North Carolina
22,Oklahoma
23,Oregon
24,Pennsylvania
25,Rhode Island
26,South Carolina
27,Tennessee
28,Utah
29,Vermont
30,Virginia
31,West Virginia
32,Wisconsin
33,Wyoming
